279
163268057/285708800,886357/17856800
750515289/877773325,2229189537/7341376900
4497658939/5331928875,287318783/1015605500
834118283281/1010075570725,202727534049/808060456580
4357909628/5331928875,25080122029/85310862000
13736164456873/17171284702325,19416250916277/68685138809300
5542326590754324197/7027092557232384000,3846369095021641/20913965944144000
1459794683/1857107200,20791383/116069200
43645765957/48284787200,236561217/603559840
21625321793/24142393600,615658051/1508899600
16316842705823/17744659296000,22187753719/52811486000
64132493504671/70978637184000,89169421603/211245944000
16877916481/24142393600,16906739/60355984
221200460017/262454224175,846845876621/2099633793400
7456959501/9656957440,1243573789/3017799200
8417973931/11411053225,13354458569/38175159880
50175121887391/70978637184000,62150880963/211245944000
643942719/877773325,1692609509/14682753800
9370558657/12071196800,121815867/754449800
55652932336411/70978637184000,37085737223/211245944000
656094833/877773325,803334561/7341376900
1,673791737/1226604600
1,44110137/81012100
1,382920037/691557100
23032491199/24142393600,681355589/1508899600
1,287351609/537542200
5203257/5547425,18752351/44379400
67161476691809/70978637184000,92412487997/211245944000
1,434682601/954025800
3480749225337/3569873388575,287026659888/713974677715
1,2140687/5514600
81794431/94306225,44515139/150889960
38349784129/48284787200,492065941/3017799200
226989244733/262454224175,12959371655/83985351736
227565050379/262454224175,293936975087/1049816896700
60084481238/69315075375,295632062639/1109041206000
193419159154069/223226701130225,219515215995441/892906804520900
22256657729/24142393600,593804279/1508899600
65988621156511/70978637184000,86109893523/211245944000
45183179711/48284787200,484610727/3017799200
248280565069/262454224175,726861082159/2099633793400
47844594753/48284787200,878045093/3017799200
1,172926621077072/538638364056975
1,5476134162422129519/18640583612719320200
1,1252572017/4293116100
1,15445381/40506050
2182710203/2282210645,43652602823/190875799400
12059929281/12071196800,207383769/754449800
1,18583248/67192775
1,550150473922141/1898208814457800
11071528497/11411053225,5316922224/23859474925
1,5742733/23371400
1,136391573969/675281348950
11211955891/11411053225,8177620133/38175159880
1,590225071/2146558050
1,144858821821383/949104407228900
8669660223/11411053225,19239421459/190875799400
817741281/1552983575,1302843881/12423868600
981385723/1552983575,1077175977/6211934300
254571476/410148375,1089906793/6562374000
796890077093/1320868054025,817797054263/5283472216100
3410010117/3714214400,216708989/232138400
38616909/40440400,1
1,1
1,8077822159/8586232200
5730131/7254325,38952801/58034600
5536393/7254325,4743088/7254325
573418499/742842880,155441783/232138400
3205285883/3714214400,186444807/232138400
18328710313/20188786475,120798881493/161510291800
16201332567/20188786475,13716159568/20188786475
681193737/877773325,248524976/367068845
4199085971/5331928875,177171408/253901375
813384859457/1010075570725,737171795248/1010075570725
4338835282/5331928875,58584248831/85310862000
14271388969673/17171284702325,11985817888688/17171284702325
5919347572933693723/7027092557232384000,16663959389342679/20913965944144000
1569275653/1857107200,93037693/116069200
710103703/965695744,864119937/1508899600
35110062779/48284787200,1776749891/3017799200
798009/1109485,24127773/44379400
51638574737249/70978637184000,117999496717/211245944000
12625924354657/17744659296000,29604475861/52811486000
301347/426725,235088/426725
206880538757/262454224175,1212265193681/2099633793400
155648712282229/194872247581375,8179096377027733/16369268796835500
4365882/5547425,44925077/88758800
2700024252309/3569873388575,7470126292769/14279493554300
787766307/877773325,2541353721/2936550760
10318398527/12071196800,618073127/754449800
60118135905509/70978637184000,170083181097/211245944000
775614193/877773325,1599088624/1835344225
1,228634470421/274549744300
141218343/285708800,601027/3571360
61169827/94306225,313957869/754449800
941881/1450865,3249904/7254325
182981237/285708800,7717997/17856800
169590971801/262454224175,578300881617/2099633793400
27789986881/48284787200,857594637/3017799200
170166777447/262454224175,105273817552/262454224175
42965217/67521025,59969392/141180325
256275043/410148375,7891024/19530875
47170503769/77698120825,28904159536/77698120825
44925397298/69315075375,429963858419/1109041206000
28919975175461/44645340226045,81916973064752/223226701130225
308116455585877049/540545581325568000,490735211622797/1608766611088000
16209979/28570880,2680783/8928400
33085968709/48284787200,1548334781/3017799200
3395351821/4828478720,776568627/1508899600
12436117217183/17744659296000,28584505899/52811486000
50465719201951/70978637184000,111696902243/211245944000
190882292137/262454224175,981177672401/2099633793400
6174083139/11411053225,42359111481/190875799400
1346121869/2414239360,213198041/754449800
40130030381851/70978637184000,62672745943/211245944000
7140421/13504205,32549104/141180325
1147960510191/1298214569600,1
72025547/94306225,517313299/754449800
40406044607/48284787200,493498007/603559840
72464089/94306225,359147761/377224900
201091754041/262454224175,1735126778927/2099633793400
40103189679/52490844835,183904640016/262454224175
52973202592/69315075375,792004758541/1109041206000
170679035391029/223226701130225,164039644031984/223226701130225
17121256639/24142393600,885973709/1508899600
3844977/5547425,24770531/44379400
49782447085409/70978637184000,121059024797/211245944000
1342905961/1931391488,2474945249/3017799200
30911233983/48284787200,2081510883/3017799200
35960086741/52490844835,1332249988143/2099633793400
119583192067901/194872247581375,9856962737907947/16369268796835500
3238371/5547425,13729121/22189700
56598943975808351839/91352203244020992000,185795312454257547/271881557273872000
15021842241/24142393600,207670841/301779920
693828/1109485,52871531/88758800
2341961270109/3569873388575,8263367553119/14279493554300
7698666323/11411053225,143539312659/190875799400
7629027903/12071196800,21300209/30177992
44304636636389/70978637184000,146124168537/211245944000
7540688841/11411053225,14465653769/19087579940
482933142283/649107284800,1
783772058941/1298214569600,1
29648562111/48284787200,2125218427/3017799200
51453381/94306225,31636381/37722490
142618953677/262454224175,1496991307661/2099633793400
638665613941/1153090222375,61531906421107/96859578679500
231354/426725,4381649/6827600
22815166529/48284787200,2132673641/3017799200
1825945264989/3569873388575,9406532880479/14279493554300
10889567215561/23384669709765,13438235105786317/19643122556202600
2559231/5547425,7616833/11094850
150419458329/324553642400,1
419583607691/1298214569600,1
118744691033/649107284800,1
55395156441/1298214569600,1
115491/1148875,57025243/64337000
48559/164125,10728163/13786500
0,38095963/40440400
0,1
8685693981/21123511175,60353693141/84494044700
316178924857/691854133425,80074235335331/116231494415400
7400261447/11411053225,146303814817/190875799400
1988511423/2282210645,167952494023/190875799400
0,0
0,32697/262600
347359/558025,384479/892840
156966361/285708800,5333149/17856800
8909/22321,636937/2232100
783488117/1552983575,879339883/2484773720
947132559/1552983575,656025936/1552983575
245525096/410148375,2724102853/6562374000
153551307293/264173610805,533378606768/1320868054025
16345423169/24142393600,798422399/1508899600
48609591550111/70978637184000,114756430323/211245944000
134916647/285708800,7451927/17856800
32760437417/52490844835,1101162466863/2099633793400
26725000257/48284787200,321820497/603559840
296193987927698489/540545581325568000,891358531369517/1608766611088000
77899047/142854400,4904179/8928400
5922396847/11411053225,89891982867/190875799400
6464362689/12071196800,401075003/754449800
38564500044571/70978637184000,115278295303/211245944000
34212837/67521025,270826213/564721300
0,1073287217/4293116100
0,3224055059/8586232200
30132933/57141760,9779941/17856800
210417/558025,596393/1116050
749234953/1552983575,7490554949/12423868600
128614951/285708800,11898719/17856800
0,358461307/715519350
0,5379016309/8586232200
0,3228248467/4293116100
0,2511325853/2862077400
33278059/67521025,21930529/45177704
34767327/67521025,267003631/1129442600
302
3 0 1 2
4 1 3 4 0
3 5 6 7
4 7 5 8 9
5 10 6 7 11 12
4 11 13 9 7
4 4 12 10 3
4 14 15 16 17
5 16 18 19 20 15
3 21 22 19
3 19 23 22
3 19 21 18
3 20 24 19
4 25 26 27 19
3 19 23 27
4 19 25 28 24
5 29 17 14 30 31
4 9 31 29 8
3 32 30 31
4 31 32 13 9
4 33 34 0 35
3 36 2 0
3 0 36 34
3 35 33 37
3 38 37 35
3 39 40 41
4 40 42 43 39
4 43 0 44 42
3 44 4 0
3 45 46 47
5 48 49 50 51 52
5 53 45 54 55 56
3 54 47 45
4 57 56 53 58
4 59 58 57 60
4 52 48 60 59
4 61 45 46 62
4 63 64 65 66
4 65 62 61 64
3 67 51 52
4 68 53 45 69
3 70 71 68
4 69 68 70 72
3 45 69 61
3 73 63 64
5 61 64 73 72 69
4 53 58 74 68
4 74 75 59 58
4 59 52 67 75
4 50 76 77 49
3 77 78 76
3 79 80 81
4 40 41 82 83
4 84 79 85 86
3 85 81 79
4 87 86 84 88
5 89 88 87 90 83
3 83 91 90
3 83 89 82
4 79 80 92 93
4 94 66 63 95
4 93 95 94 92
3 96 41 82
4 84 79 97 98
3 70 71 98
4 98 70 72 97
3 93 79 97
3 73 63 95
5 97 93 95 73 72
4 99 98 84 88
4 89 88 99 100
4 82 96 100 89
4 83 40 42 101
3 102 103 83
3 83 91 103
4 101 83 102 104
5 44 42 101 11 12
4 11 13 104 101
3 4 12 44
4 46 47 105 106
3 54 55 107
4 105 107 54 47
5 108 109 106 46 62
4 110 111 65 66
4 65 62 108 111
3 109 112 108
3 113 110 111
5 108 111 113 114 112
3 81 115 80
4 116 14 15 117
4 85 86 118 115
3 115 85 81
4 118 119 87 86
5 87 90 116 120 119
3 116 91 90
3 120 117 116
4 115 80 92 121
4 94 66 110 122
4 121 122 94 92
4 123 20 15 117
4 118 115 124 125
3 126 127 125
3 125 128 127
4 125 126 129 124
3 121 115 124
3 113 110 122
6 124 121 122 113 114 129
4 125 118 119 130
4 131 132 133 125
3 125 128 133
4 130 125 131 134
4 120 119 130 123
3 123 134 130
3 117 123 120
3 20 24 123
3 135 136 137
3 131 132 138
5 137 135 138 131 134
4 139 136 137 123
3 123 134 137
4 123 139 28 24
4 14 30 140 116
3 102 103 116
3 116 91 103
4 116 102 104 140
3 32 30 140
4 140 32 13 104
3 0 35 141
3 142 41 39
4 43 39 142 143
4 144 143 43 0
3 141 0 144
4 145 146 147 148
3 149 150 151
4 152 50 51 153
4 154 149 155 156
3 155 151 149
4 157 156 154 158
5 159 158 157 160 152
3 152 161 160
3 153 152 159
4 162 149 150 163
4 164 165 166 167
4 166 163 162 165
3 67 51 153
4 68 154 149 168
3 169 71 68
4 168 68 169 170
3 149 168 162
3 171 164 165
5 162 165 171 170 168
4 154 158 74 68
4 74 75 159 158
4 159 153 67 75
4 50 76 172 152
3 173 174 152
3 152 161 174
4 152 173 175 172
5 145 176 78 76 172
3 172 145 175
3 176 148 145
3 35 141 177
3 178 179 180
4 142 41 181 182
4 183 178 184 185
3 184 180 178
4 186 185 183 187
5 188 187 186 189 182
3 182 190 189
3 182 188 181
4 178 179 191 192
4 193 167 164 194
4 192 194 193 191
3 96 41 181
4 183 178 195 98
3 169 71 98
4 98 169 170 195
3 192 178 195
3 171 164 194
5 195 192 194 171 170
4 99 98 183 187
4 188 187 99 100
4 181 96 100 188
4 182 142 143 196
3 197 198 182
3 182 190 198
4 196 182 197 199
4 144 143 196 177
3 177 199 196
3 177 144 141
3 145 146 200
3 201 150 151
3 202 203 204
4 205 201 155 156
3 155 151 201
4 157 156 205 206
5 207 206 157 160 202
3 202 161 160
3 204 202 207
4 208 201 150 163
4 209 210 166 167
4 166 163 208 210
3 211 203 204
4 212 205 201 213
4 214 215 216 212
3 212 217 216
4 213 212 214 218
3 201 213 208
3 219 209 210
5 208 210 219 218 213
4 205 206 220 212
3 221 222 212
3 212 217 222
4 212 221 223 220
4 211 207 206 220
3 220 211 223
3 207 204 211
4 203 224 225 211
3 226 227 228
4 229 215 216 226
3 226 217 216
4 228 226 229 230
3 227 228 231
3 232 233 231
3 231 234 233
4 231 232 230 228
4 235 236 231 227
4 237 238 239 240
4 239 241 242 238
3 243 244 231
3 231 234 244
5 231 243 240 237 236
3 226 227 245
3 221 222 226
3 226 217 222
4 245 226 221 223
3 227 245 211
3 211 223 245
4 211 227 235 225
3 202 203 246
3 173 174 202
3 202 161 174
4 246 202 173 175
3 203 246 145
3 145 175 246
4 224 200 145 203
5 247 248 177 35 38
3 249 179 180
3 250 251 252
4 253 249 184 185
3 184 180 249
4 186 185 253 254
5 255 254 186 189 250
3 250 190 189
3 252 250 255
4 249 179 191 256
4 193 167 209 257
4 256 257 193 191
3 251 252 258
4 253 249 259 260
4 214 215 261 260
3 260 262 261
4 260 214 218 259
3 256 249 259
3 219 209 257
5 259 256 257 219 218
4 260 253 254 263
3 264 265 260
3 260 262 265
4 263 260 264 266
4 255 254 263 258
3 258 266 263
3 258 255 252
4 267 268 258 251
3 269 270 271
4 229 215 261 269
3 269 262 261
4 271 269 229 230
3 270 271 272
3 232 233 272
3 272 234 233
4 272 232 230 271
4 273 274 272 270
4 275 276 239 240
3 239 241 276
3 243 244 272
3 272 234 244
5 272 243 240 275 274
3 269 270 277
3 264 265 269
3 269 262 265
4 277 269 264 266
3 270 277 258
3 258 266 277
4 258 270 273 268
3 250 251 278
3 197 198 250
3 250 190 198
4 278 250 197 199
3 251 278 177
3 177 199 278
4 177 251 267 248
-26750241/36774400,21708849/16088800
-7930241815979111/10355282968166240,5798859614814459/4530436298572730
-751680820268459/976887447602560,566011587839612/435020191510515
-12261794005096/15631790660863,30709395/24135566
-324377946248/407813486795,7583706863409/5709388815130
-25124597829/32171651200,7096869796/5278161525
-221043414752/276740123725,5107357877121/3874361732150
-159572826/199888975,15033645817/11193782600
-1246990331749/1624668385600,945891033511/710792418700
-324377946248/407813486795,7583706863409/5709388815130
-3270975947/4247859616,30709395/24135566
-1913828751/2574208000,4554055817/3378648000
-1353581/1838720,1072749/804440
-1424792588252911/1913379405267200,86542662046083/64392576138800
-40974044/52791375,3170798/2513875
-209880140136/262454224175,2322624883114/1837179569225
-40156745836264/50300316482975,472229480241786/352102215380825
-62534252579/84621726475,71535780486/53850189575
-78427286287371/100850807324800,163918272387/121884608300
-26750241/36774400,21708849/16088800
-72921216/94306225,836122134/660143575
-15657145714591/21451691060800,163918272387/121884608300
-126088126797668553/172160128718364800,25399313098160373/18830014078571150
-1744339038476711129/2380072954281843275,6414868502016950631/4760145908563686550
-211002640047/259995008000,152633778883/113747816000
-1336247837964804/1774617632589425,16188254562770646/12422323428125975
-74813121847283556/97558168632944825,3599229009636840009/2731628721722455100
-8974938262267475379/12219233902436163200,3604984166511606453/2672957416157910700
-616847065708/753072758425,83308858822229/63258111707700
-2458946604123/3249336771200,410243740969/304625322300
-7992976664/10000748225,90287536886/70005237575
-159572826/199888975,15033645817/11193782600
-2481220769506749/3313103515904000,5859144541269683/4348448364624000
-1563332824/1956922825,17953571926/13698459775
-47572074549/60683708800,53535310229/39823683900
-57496/71825,612054/502775
-63029008927/83548462400,47539738503/36552452300
-75489377/97052475,284950166/226455775
-516619/426725,3527806/2987075
-42379391683/54058368000,200663521/160888000
-6845232/8690825,157803774/127202075
-15087962/18861245,1319448049/1056229720
-42233341/52791375,1052282867/844662000
-135949454382/170012719825,12058225553419/9520712310200
-26543924864/34002543965,298284630366/238017807755
-15087962/18861245,1319448049/1056229720
-75387372/94306225,3382732637/2640574300
-38203212093/48284787200,26722290977/21124594400
-23917687311672/30540488351425,2299246018670199/1710267347679800
-2788393484/3544356725,4402963938/3544356725
-29116573/36774400,19839597/16088800
-15087962/18861245,1319448049/1056229720
-159572826/199888975,15033645817/11193782600
-6845232/8690825,157803774/127202075
-209880140136/262454224175,2322624883114/1837179569225
-1188032826884656/1505897394611675,13312592764276594/10541281762281725
-4759392444496/6108097670285,53694849627774/42756683691995
-10412016864656/13020135883885,230416835236503/182281902374390
-42233341/52791375,1052282867/844662000
-26543924864/34002543965,298284630366/238017807755
-295791962987488/384977311885075,11293249905699618/8854478173356725
-1384254459/1857107200,1095003901/812484400
-567048699/742842880,437484371/324993760
-7193196184052/9563588729825,716214688297559/535560968870200
-39744824897/54058368000,214820939/160888000
-10041698881/13514592000,53138347/40222000
-7210769266586/9563588729825,177067636766803/133890242217550
-1384254459/1857107200,1095003901/812484400
-26750241/36774400,21708849/16088800
-159572826/199888975,15033645817/11193782600
-2405375433466/3116768620875,188380263622/148417553375
-9872749641922272/12556992002260225,901416705504540699/703191552126572600
-3415229471/4353021725,620705001939/487538433200
-2059146286/2718867775,24651415914/19032074425
-159572826/199888975,15033645817/11193782600
-39744824897/54058368000,214820939/160888000
-31991786/39977795,2758999057/2238756520
-34776782372/43458700675,1500511673487/1216843618900
-1203214096399816/1505897394611675,103914002109219097/84330254098253800
-15087962/18861245,1319448049/1056229720
-75387372/94306225,3382732637/2640574300
-38203212093/48284787200,26722290977/21124594400
-159572826/199888975,15033645817/11193782600
-26750241/36774400,21708849/16088800
-6845232/8690825,157803774/127202075
-209880140136/262454224175,2322624883114/1837179569225
-40974044/52791375,3170798/2513875
-7992976664/10000748225,90287536886/70005237575
-42233341/52791375,1052282867/844662000
-26543924864/34002543965,298284630366/238017807755
-2481220769506749/3313103515904000,5859144541269683/4348448364624000
-1424792588252911/1913379405267200,86542662046083/64392576138800
-567048699/742842880,437484371/324993760
-1384254459/1857107200,1095003901/812484400
-10041698881/13514592000,53138347/40222000
-39744824897/54058368000,214820939/160888000
-1384254459/1857107200,1095003901/812484400
-159572826/199888975,15033645817/11193782600
-26750241/36774400,21708849/16088800
-159572826/199888975,15033645817/11193782600
-39744824897/54058368000,214820939/160888000
-159572826/199888975,15033645817/11193782600
-1353581/1838720,1072749/804440
-1913828751/2574208000,4554055817/3378648000
-324377946248/407813486795,7583706863409/5709388815130
-20619934748/25912022175,607878465097/483691080600
-2737409196/3422761225,120702407741/95837314300
-303787540016/379837737175,6692521833093/5317728320450
-1384254459/1857107200,1095003901/812484400
-4389984/5547425,804248136091/635912422600
-7193196184052/9563588729825,716214688297559/535560968870200
-39744824897/54058368000,214820939/160888000
-4389984/5547425,216637351457/161230360200
-2059146286/2718867775,24651415914/19032074425
-3393184968/4353021725,934067513243/731307649800
-15087962/18861245,1319448049/1056229720
-26750241/36774400,21708849/16088800
-159572826/199888975,15033645817/11193782600
-6845232/8690825,157803774/127202075
-42233341/52791375,1052282867/844662000
-26543924864/34002543965,298284630366/238017807755
-1384254459/1857107200,1095003901/812484400
-39744824897/54058368000,214820939/160888000
-26750241/36774400,21708849/16088800
-159572826/199888975,15033645817/11193782600
-26750241/36774400,21708849/16088800
-2238586478536/3014334366225,30546925648082/23109896807725
-1307751460586928/1774617632589425,134009289083777351/99378587425007800
-1788455418206621716/2429443594662145425,727003061704975261/539876354369365650
-2110725175256/2685814404325,3701779408151/2892415512350
-159572826/199888975,15033645817/11193782600
-1353581/1838720,1072749/804440
-10988995300672/14909875194175,278718177466331/208738252718450
-22495060852236/30540488351425,2306302197178487/1710267347679800
-324377946248/407813486795,7583706863409/5709388815130
-2924574156/3835831025,289175254727/214806537400
-34709561532/43458700675,1608336416597/1216843618900
-159572826/199888975,15033645817/11193782600
-17176000672/23346475425,10384161118/7782158475
-23173348102188/30540488351425,276356096951862/213783418459975
-159572826/199888975,15033645817/11193782600
-159572826/199888975,15033645817/11193782600
-6845232/8690825,157803774/127202075
-42233341/52791375,1052282867/844662000
-26543924864/34002543965,298284630366/238017807755
-26750241/36774400,21708849/16088800
-401773209/525725200,3831963/2987075
-345356/426725,3831963/2987075
-345356/426725,149802123917/111621018600
-15087962/18861245,1319448049/1056229720
-75387372/94306225,3382732637/2640574300
-38203212093/48284787200,26722290977/21124594400
-26750241/36774400,21708849/16088800
-159572826/199888975,15033645817/11193782600
-6845232/8690825,157803774/127202075
-209880140136/262454224175,2322624883114/1837179569225
-40974044/52791375,3170798/2513875
-7992976664/10000748225,90287536886/70005237575
-42233341/52791375,1052282867/844662000
-26543924864/34002543965,298284630366/238017807755
-2481220769506749/3313103515904000,5859144541269683/4348448364624000
-1424792588252911/1913379405267200,86542662046083/64392576138800
-1384254459/1857107200,1095003901/812484400
-567048699/742842880,437484371/324993760
-7193196184052/9563588729825,716214688297559/535560968870200
-39744824897/54058368000,214820939/160888000
-10041698881/13514592000,53138347/40222000
-7210769266586/9563588729825,177067636766803/133890242217550
-159572826/199888975,15033645817/11193782600
-2405375433466/3116768620875,188380263622/148417553375
-3415229471/4353021725,620705001939/487538433200
-2059146286/2718867775,24651415914/19032074425
-159572826/199888975,15033645817/11193782600
-1353581/1838720,1072749/804440
-1913828751/2574208000,4554055817/3378648000
-324377946248/407813486795,7583706863409/5709388815130
-90768491416/114848779175,993443043834/803941454225
-26750241/36774400,21708849/16088800
-15087962/18861245,1319448049/1056229720
-75387372/94306225,3382732637/2640574300
-38203212093/48284787200,26722290977/21124594400
-159572826/199888975,15033645817/11193782600
-26750241/36774400,21708849/16088800
-6845232/8690825,157803774/127202075
-209880140136/262454224175,2322624883114/1837179569225
-40974044/52791375,3170798/2513875
-7992976664/10000748225,90287536886/70005237575
-42233341/52791375,1052282867/844662000
-26543924864/34002543965,298284630366/238017807755
-2481220769506749/3313103515904000,5859144541269683/4348448364624000
-1424792588252911/1913379405267200,86542662046083/64392576138800
-567048699/742842880,437484371/324993760
-1384254459/1857107200,1095003901/812484400
-10041698881/13514592000,53138347/40222000
-39744824897/54058368000,214820939/160888000
-159572826/199888975,15033645817/11193782600
-159572826/199888975,15033645817/11193782600
-1353581/1838720,1072749/804440
-1913828751/2574208000,4554055817/3378648000
-324377946248/407813486795,7583706863409/5709388815130
-13530245131683/16876789404800,4957103069031/3691797682300
-15087962/18861245,1319448049/1056229720
-26750241/36774400,21708849/16088800
-57496/71825,612054/502775
-159572826/199888975,15033645817/11193782600
-6845232/8690825,157803774/127202075
-42233341/52791375,1052282867/844662000
-26543924864/34002543965,298284630366/238017807755
-1384254459/1857107200,1095003901/812484400
-7193196184052/9563588729825,716214688297559/535560968870200
-39744824897/54058368000,214820939/160888000
-26750241/36774400,21708849/16088800
-26750241/36774400,21708849/16088800
-159572826/199888975,15033645817/11193782600
-2405375433466/3116768620875,188380263622/148417553375
-10014176741592238/12556992002260225,113540792760184662/87898944015821575
-2481220769506749/3313103515904000,5859144541269683/4348448364624000
-1424792588252911/1913379405267200,86542662046083/64392576138800
-3415229471/4353021725,620705001939/487538433200
-2059146286/2718867775,24651415914/19032074425
-159572826/199888975,15033645817/11193782600
-1353581/1838720,1072749/804440
-1913828751/2574208000,4554055817/3378648000
-324377946248/407813486795,7583706863409/5709388815130
-7206938579279/8438394702400,4476701556531/3691797682300
-15669749719449/16876789404800,2457825226959/1845898841150
-26750241/36774400,21708849/16088800
-57496/71825,612054/502775
-159572826/199888975,15033645817/11193782600
-2405375433466/3116768620875,188380263622/148417553375
-3415229471/4353021725,620705001939/487538433200
-26750241/36774400,21708849/16088800
-2059146286/2718867775,24651415914/19032074425
-22289813148/29683510675,20155263083069/14960489380200
-432633963343882/577267270017425,10849732155213411/8081741780243950
-4138345436581/4219197351200,2217624470709/1845898841150
-3561850861443/3375357880960,974839567761/738359536460
-1869288633409/1687678940480,878759265261/738359536460
-19948758894981/16876789404800,1208186305923/922949420575
-15756732/14935375,1104274169/836381000
-1834178/2133625,54310066/44806125
-54786509133/47883238975,6691980417897/5362922765200
-67791198099/56589282425,502866109014/396124976975
-2059146286/2718867775,24651415914/19032074425
-22289813148/29683510675,20155263083069/14960489380200
-159572826/199888975,15033645817/11193782600
-159572826/199888975,15033645817/11193782600
-20853/17069,3527806/2987075
-20853/17069,1247915/955864
-15087962/18861245,1319448049/1056229720
-26750241/36774400,21708849/16088800
-57496/71825,612054/502775
-159572826/199888975,15033645817/11193782600
-6845232/8690825,157803774/127202075
-42233341/52791375,1052282867/844662000
-26543924864/34002543965,298284630366/238017807755
-1384254459/1857107200,1095003901/812484400
-39744824897/54058368000,214820939/160888000
-26750241/36774400,21708849/16088800
-159572826/199888975,15033645817/11193782600
-26750241/36774400,21708849/16088800
-2481220769506749/3313103515904000,5859144541269683/4348448364624000
-1424792588252911/1913379405267200,86542662046083/64392576138800
-159572826/199888975,15033645817/11193782600
-1353581/1838720,1072749/804440
-1913828751/2574208000,4554055817/3378648000
-324377946248/407813486795,7583706863409/5709388815130
-511913/426725,2356001486/1993232475
-511913/426725,145943331341/111621018600
-26750241/36774400,21708849/16088800
-57496/71825,612054/502775
-159572826/199888975,15033645817/11193782600
-26750241/36774400,21708849/16088800
-502501/426725,5506422518/4650875775
-502501/426725,146161388557/111621018600
-493089/426725,16546524706/13952627325
-493089/426725,48793148591/37207006200
-159572826/199888975,15033645817/11193782600
-159572826/199888975,15033645817/11193782600
