247
207/800,183/1400
221/672,0
147/800,43/1400
33/200,1/175
29/168,0
151/672,0
9/56,0
3/80,47/140
0,291/896
11/960,3183/8960
0,163/448
3/40,27/70
3/80,1679/4480
3/20,913/2240
9/80,1777/4480
9/40,481/1120
3/16,375/896
3/10,1011/2240
21/80,1973/4480
3/8,53/112
27/80,2071/4480
9/20,1109/2240
33/80,2169/4480
21/40,579/1120
39/80,2267/4480
3027/20000,23713/35000
423/2800,1423/2100
5947/39200,6649/9800
2143/9800,1881/2450
903/5000,2916/4375
4197/20000,22943/35000
2391/10000,11279/17500
6911/19600,4637/4900
11197/39200,8399/9800
5367/20000,22173/35000
186/625,5447/8750
40/91,1
10645/26208,1
6537/20000,21403/35000
3561/10000,10509/17500
7027/14000,3459/3500
2647/5600,1399/1400
7707/20000,20633/35000
2073/5000,2531/4375
3923/7000,1691/1750
14873/28000,6841/7000
8877/20000,19863/35000
4731/10000,9739/17500
1733/2800,661/700
16511/28000,6687/7000
10047/20000,19093/35000
1329/2500,4677/8750
2371/3500,807/875
18149/28000,6533/7000
10303/14000,3151/3500
19787/28000,6379/7000
5561/7000,1537/1750
857/1120,249/280
145/308,1
11/28,1
12395/26208,1
6635/13104,1
4715/8736,1
3755/6552,1
15895/26208,1
215/336,1
17645/26208,1
2315/3276,1
2155/2912,1
10135/13104,1
21145/26208,1
1835/2184,1
22895/26208,1
1661/19600,2887/4900
11/960,3533/8960
697/39200,4899/9800
0,10/21
0,4461/9856
0,361/896
169/1120,949/1400
37/280,123/175
127/1120,1019/1400
53/560,527/700
17/224,1089/1400
2/35,281/350
8/25,1
893/2400,1
43/1120,1159/1400
11/560,597/700
259/1200,1
643/2400,1
1/1120,1229/1400
0,923/1050
0,733/800
67/600,1
131/800,1
0,3057/3200
0,1591/1600
3/400,1
143/2400,1
0,1
0,841/1600
0,1807/3200
0,1557/3200
0,483/800
0,1091/1600
0,2057/3200
0,19/25
0,2307/3200
0,1341/1600
0,2557/3200
0,2807/3200
0,27/70
0,2/7
0,93/448
0,221/896
0,29/224
0,151/896
27/224,0
23/336,0
0,23/448
0,81/896
11/672,0
0,0
0,11/896
194
4 0 1 2 3
5 4 5 6 7 8
4 9 10 11 12
4 13 14 15 16
4 17 18 19 20
4 21 22 23 24
4 25 26 27 28
4 29 30 31 32
3 31 33 30
4 27 32 29 26
4 23 28 25 22
4 19 24 21 18
4 15 20 17 14
4 11 16 13 10
4 6 12 9 5
3 34 35 36
4 37 36 34 38
5 39 40 41 42 43
4 44 45 46 47
4 48 49 50 51
4 52 53 54 55
4 56 57 58 59
4 60 61 62 63
4 64 65 66 67
4 68 69 70 71
3 70 72 69
4 66 71 68 65
5 62 67 64 33 61
4 58 63 60 57
4 54 59 56 53
5 50 73 55 52 49
4 46 51 48 45
4 41 47 44 40
4 38 37 43 39
4 55 74 75 54
4 76 77 58 59
4 78 79 62 63
4 80 81 66 67
4 82 83 70 71
3 84 85 86
6 70 72 86 84 87 83
4 66 71 82 81
4 62 67 80 79
4 58 63 78 77
4 54 59 76 75
3 74 73 55
5 34 35 88 89 90
3 91 92 93
4 89 93 91 88
5 7 90 34 38 6
4 39 40 11 12
4 44 45 15 16
4 48 49 19 20
4 52 53 23 24
4 56 57 27 28
4 60 61 31 32
3 31 33 61
4 27 32 60 57
4 23 28 56 53
4 19 24 52 49
4 15 20 48 45
4 11 16 44 40
4 6 12 39 38
3 36 94 35
4 94 95 37 36
5 96 97 98 42 43
4 99 100 101 102
3 103 104 105
4 101 105 103 100
4 98 102 99 97
4 37 43 96 95
5 94 35 88 106 107
3 91 92 108
4 106 108 91 88
4 109 107 94 95
4 96 97 110 111
4 99 100 112 113
5 103 104 114 115 116
3 115 117 114
4 112 116 103 100
4 110 113 99 97
4 95 109 111 96
4 2 8 4 1
4 118 3 0 119
4 120 121 122 123
4 124 125 126 127
3 126 128 125
4 122 127 124 121
4 119 118 123 120
4 0 1 129 130
3 131 132 130
3 130 131 129
4 4 5 133 134
4 9 10 135 136
4 13 14 137 138
4 17 18 139 140
4 21 22 141 142
4 25 26 143 144
4 29 30 145 146
3 145 33 30
4 143 146 29 26
4 141 144 25 22
4 139 142 21 18
4 137 140 17 14
4 135 138 13 10
4 133 136 9 5
3 147 148 149
4 150 149 147 151
4 152 153 154 155
4 156 157 158 159
4 160 161 162 163
4 164 165 166 167
4 168 169 170 171
4 172 173 174 175
4 64 65 176 177
4 68 69 178 179
3 178 72 69
4 176 179 68 65
5 174 177 64 33 173
4 170 175 172 169
4 166 171 168 165
4 162 167 164 161
5 158 180 163 160 157
5 154 181 159 156 153
4 151 150 155 152
4 163 182 183 162
4 184 185 166 167
4 186 187 170 171
4 188 189 174 175
4 190 191 176 177
4 192 193 178 179
3 194 85 86
5 178 72 86 194 193
4 176 179 192 191
4 174 177 190 189
4 170 175 188 187
4 166 171 186 185
4 162 167 184 183
3 182 180 163
5 147 148 195 196 134
3 197 198 199
5 196 200 199 197 195
4 134 147 151 133
4 152 153 135 136
4 156 157 137 138
4 160 161 139 140
4 164 165 141 142
4 168 169 143 144
4 172 173 145 146
3 145 33 173
4 143 146 172 169
4 141 144 168 165
4 139 142 164 161
4 137 140 160 157
4 135 138 156 153
4 133 136 152 151
3 149 201 148
4 201 202 150 149
4 203 204 154 155
4 205 206 207 208
4 209 210 211 212
5 213 214 215 216 217
4 218 219 220 221
3 220 222 219
4 216 221 218 215
4 211 217 213 210
4 207 212 209 206
5 154 181 208 205 204
4 150 155 203 202
5 201 148 195 223 224
3 197 198 225
4 223 225 197 195
4 226 224 201 202
4 203 204 227 228
4 205 206 229 230
4 209 210 231 232
3 213 214 233
4 231 233 213 210
4 229 232 209 206
4 227 230 205 204
4 202 226 228 203
4 134 4 1 129
5 131 132 234 196 134
3 196 200 234
3 129 134 131
4 235 130 0 119
4 236 237 120 121
4 238 239 124 125
4 240 241 242 243
3 244 245 246
4 242 246 244 241
5 128 125 238 243 240
4 124 121 236 239
4 120 119 235 237
445/728,915/2912
53/91,55/182
527/1092,493/910
48/91,7503/14560
445/728,915/2912
53/91,55/182
85/182,527/910
5461/11375,13679/22750
541/1092,8623/14560
445/728,915/2912
53/91,55/182
2825/5824,3901/7280
5881/11648,2073/3640
445/728,915/2912
53/91,55/182
1465/2912,1793/3640
6091/11648,3831/7280
445/728,915/2912
53/91,55/182
3035/5824,3271/7280
6301/11648,879/1820
445/728,915/2912
53/91,55/182
785/1456,739/1820
6511/11648,3201/7280
445/728,915/2912
53/91,55/182
3245/5824,2641/7280
517/896,111/280
445/728,915/2912
53/91,55/182
1675/2912,1163/3640
6931/11648,2571/7280
551/910,227/728
445/728,915/2912
278/455,49/156
3113/5096,32121/101920
53/98,197/490
53/91,55/182
445/728,915/2912
53/91,55/182
2713/5824,4237/7280
1661/3500,8117/14000
2693/5096,52281/101920
445/728,915/2912
53/91,55/182
163/364,569/910
5657/11648,2241/3640
445/728,915/2912
53/91,55/182
2503/5824,4867/7280
419/896,369/560
445/728,915/2912
53/91,55/182
11/26,89/130
47/104,1449/2080
445/728,915/2912
53/91,55/182
11/26,89/130
47/104,1449/2080
445/728,915/2912
53/91,55/182
11/26,89/130
47/104,1449/2080
439/728,4863/14560
97/182,383/910
11/26,89/130
47/104,1449/2080
379/728,7743/14560
41/91,563/910
11/26,89/130
47/104,1449/2080
23/52,2161/3120
809/1820,5049/7280
407/896,387/560
1265/2912,2393/3640
5501/11648,1179/1820
2635/5824,4471/7280
5711/11648,4401/7280
685/1456,1039/1820
5921/11648,2043/3640
2845/5824,3841/7280
6131/11648,3771/7280
1475/2912,1763/3640
289/546,7439/14560
21813/45500,98339/182000
339/728,9663/14560
5933/11375,43727/91000
345/637,2549/6370
527/1092,493/910
541/1092,8623/14560
2697/5096,52089/101920
1713/3250,5844/11375
48/91,7503/14560
445/728,915/2912
53/91,55/182
445/728,915/2912
53/91,55/182
30449/64064,44789/80080
445/728,915/2912
53/91,55/182
2159/4004,4063/10010
68689/128128,39609/80080
445/728,915/2912
42667/70980,52807/170352
6989/11648,621/1820
3065/6084,2489/5070
817/1521,39919/81120
357/676,13893/27040
20/39,61/130
3175/6084,2269/5070
3323/6084,38159/81120
1615/3042,2159/5070
563/1014,12133/27040
35985/64064,28181/80080
365/676,683/1690
3433/6084,34639/81120
3639/6500,73681/182000
281/546,423/910
53/91,55/182
445/728,915/2912
53/91,55/182
199/364,353/910
47/84,491/1120
445/728,915/2912
53/91,55/182
158/273,283/910
323/546,5263/14560
268/455,111/364
85/182,527/910
5671/11648,4461/7280
34901/69888,16969/29120
71087/145600,5221/9100
85/182,527/910
5671/11648,4461/7280
2825/5824,3901/7280
5881/11648,2073/3640
1465/2912,1793/3640
6091/11648,3831/7280
3035/5824,3271/7280
6301/11648,879/1820
785/1456,739/1820
6511/11648,3201/7280
3245/5824,2641/7280
517/896,111/280
1675/2912,1163/3640
6931/11648,2571/7280
445/728,915/2912
278/455,49/156
3113/5096,32121/101920
53/98,197/490
53/91,55/182
445/728,915/2912
53/91,55/182
292/637,3821/6370
2693/5096,52281/101920
445/728,915/2912
53/91,55/182
1011/2366,7979/11830
19619/42588,383657/567840
445/728,915/2912
53/91,55/182
11/26,89/130
47/104,1449/2080
445/728,915/2912
53/91,55/182
11/26,89/130
47/104,1449/2080
445/728,915/2912
53/91,55/182
11/26,89/130
47/104,1449/2080
445/728,915/2912
53/91,55/182
11/26,89/130
47/104,1449/2080
11/26,89/130
47/104,1449/2080
11/26,89/130
47/104,1449/2080
901/2002,13931/20020
20519/45500,121307/182000
19259/42588,395177/567840
18223/42588,23887/35490
1637/3549,127619/189280
4652/10647,23117/35490
20029/42588,370537/567840
487/1092,573/910
10207/21294,358217/567840
9689/21294,21577/35490
2311/4732,115299/189280
19763/42588,20807/35490
5296/10647,333577/567840
1679/3549,6679/11830
21569/42588,321257/567840
345/637,2549/6370
32255/69888,17249/29120
2697/5096,52089/101920
11617/22750,72911/136500
65321/128128,44661/80080
10657/22400,1663/2800
445/728,915/2912
53/91,55/182
445/728,915/2912
53/91,55/182
445/728,915/2912
53/91,55/182
83/182,551/910
128/273,9551/14560
445/728,915/2912
53/91,55/182
41/84,37/70
547/1092,8431/14560
445/728,915/2912
111/182,685/2184
1671/2912,235/728
142/273,411/910
97/182,7311/14560
6915/11648,519/1456
249/448,41/112
201/364,341/910
617/1092,6191/14560
25419/45500,67507/182000
2917/5824,725/1456
6275/11648,711/1456
6065/11648,387/728
1511/2912,331/728
3127/5824,599/1456
6485/11648,81/182
101/182,67/182
515/896,45/112
3337/5824,473/1456
6905/11648,261/728
7115/11648,459/1456
85/182,527/910
85/182,527/910
2825/5824,3901/7280
5881/11648,2073/3640
1465/2912,1793/3640
6091/11648,3831/7280
109/182,5007/14560
605/1092,337/910
3035/5824,3271/7280
6301/11648,879/1820
619/1092,6127/14560
503/910,781/1820
6511/11648,3201/7280
