209
311/1859,200/1859
1551219/5669950,2286169/2834975
14431/46475,39576/46475
733968413/1699218950,1
22377/46475,1
2487/46189,11667/46189
7/286,0
1/13,10/143
227/8866,3865/48763
0,13/363
0,0
0,12/143
13269/169312,0
213597/421751759,44991239/201707363
58611/2104817,3509482/14733719
0,3019/13552
0,2870229/8736607
0,125697562/466498571
0,265236437239/1186702423687
191
4 0 1 2 3
3 4 5 6
4 6 4 7 8
4 9 10 11 12
3 13 5 6
5 14 8 6 13 15
4 11 15 14 10
4 2 12 9 1
3 16 17 18
4 19 20 21 22
3 23 24 25
5 26 25 23 27 28
4 21 28 26 20
3 29 30 31
3 32 33 34
4 35 34 32 31
4 32 33 36 37
4 31 29 37 32
4 22 30 31 21
4 38 39 40 41
4 31 35 41 38
4 38 39 27 28
4 21 28 38 31
4 22 19 18 42
3 43 44 45
4 42 45 43 18
3 29 30 46
4 47 48 49 50
4 51 50 47 46
4 47 48 36 37
4 46 29 37 47
4 42 22 30 46
3 52 46 51
3 53 44 45
5 46 42 45 53 52
4 19 20 54 55
3 56 24 25
5 26 25 56 57 58
4 54 58 26 20
4 18 16 55 19
3 23 24 59
6 60 61 62 59 23 27
3 40 63 39
5 39 27 60 64 63
3 56 24 59
4 59 56 57 62
4 3 17 18 2
4 65 66 67 68
3 4 5 69
6 70 69 4 7 71 72
4 67 72 70 66
3 73 74 75
4 76 77 78 79
5 79 80 81 82 78
4 79 76 75 83
4 83 79 80 84
4 76 77 85 86
4 75 73 86 76
4 87 88 77 78
5 78 87 89 90 82
3 77 85 88
4 68 74 75 67
3 91 92 93
5 75 83 94 93 91
3 94 84 83
4 91 92 71 72
4 67 72 91 75
4 18 95 68 65
3 43 44 96
4 95 96 43 18
3 73 74 97
5 98 99 100 49 50
4 51 50 98 97
4 98 99 85 86
4 97 73 86 98
5 100 101 87 88 99
3 87 89 101
3 99 85 88
4 68 74 97 95
3 97 51 52
3 53 44 96
5 95 96 53 52 97
4 65 66 11 12
3 13 5 69
4 70 69 13 15
4 11 15 70 66
4 2 12 65 18
4 102 3 0 103
3 104 105 106
4 107 106 104 103
3 103 107 108
4 104 105 109 110
4 103 102 110 104
3 16 17 111
3 112 113 111
3 111 112 114
4 115 116 54 55
4 117 118 57 58
4 54 58 117 116
5 111 16 55 115 113
3 119 61 62
4 57 62 119 118
4 3 17 111 102
3 111 120 121
3 120 114 111
3 122 109 110
5 102 110 122 121 111
4 0 1 123 124
3 125 126 127
4 127 125 7 8
4 9 10 128 129
3 130 126 127
5 14 8 127 130 131
4 128 131 14 10
4 123 129 9 1
3 132 133 134
4 135 136 137 138
3 139 140 141
4 137 141 139 136
3 142 143 144
3 145 146 147
4 148 147 145 144
4 145 146 149 150
4 144 142 150 145
4 138 143 144 137
4 151 152 153 154
4 144 148 154 151
4 151 152 140 141
4 137 141 151 144
5 138 135 155 134 156
3 157 158 159
4 156 159 157 134
3 142 143 160
4 161 162 163 164
4 165 164 161 160
4 161 162 149 150
4 160 142 150 161
4 156 138 143 160
3 166 160 165
3 167 158 159
5 160 156 159 167 166
3 134 132 155
5 124 168 133 134 123
4 169 170 171 172
3 125 126 173
6 174 173 125 7 71 175
4 171 175 174 170
3 176 177 178
4 179 180 181 182
4 182 80 81 181
4 182 179 178 183
4 183 182 80 84
5 179 180 184 185 186
4 178 176 186 179
3 185 187 184
4 172 177 178 171
3 188 92 93
5 178 183 94 93 188
3 94 84 183
4 188 92 71 175
4 171 175 188 178
4 134 189 172 169
3 157 158 190
4 189 190 157 134
3 176 177 191
4 192 193 163 164
4 165 164 192 191
5 192 193 194 185 186
4 191 176 186 192
3 185 187 194
4 172 177 191 189
3 191 165 166
3 167 158 190
5 189 190 167 166 191
4 169 170 128 129
3 130 126 173
4 174 173 130 131
4 128 131 174 170
4 123 129 169 134
4 195 124 0 103
5 196 197 198 199 200
3 199 201 198
4 197 103 202 196
3 202 108 103
4 197 198 203 204
4 203 205 201 198
4 103 195 204 197
4 124 168 206 195
4 207 208 203 204
3 203 205 208
4 195 204 207 206
2/11,9/11
507/3751,6313/7502
543/3553,1
2/11,1
398/46475,42051/46475
31299188/1390020775,42051/46475
2843/63954,113437/127908
-4058/232375,218319/232375
175636663/1351028250,2339383457/2702056500
2/11,1075874/1261271
57621387/418581691,723218583/837163382
54005511/356866873,1090019/1104851
2/11,1125947/1133363
1041759878/43250898559,38798118751/43250898559
2/11,118629536059/137182023011
2/11,107729717627/110824533083
3/22,75/88
2/11,9/11
87/671,1063/1342
2/11,9/11
507/3751,6313/7502
543/3553,1
2/11,1
398/46475,42051/46475
31299188/1390020775,42051/46475
2843/63954,113437/127908
2/11,1075874/1261271
-25994402/1119815125,1060664461/1119815125
2/11,1125947/1133363
3/22,75/88
2/11,9/11
87/671,1063/1342
2/11,9/11
70/1069,10305/11759
2/11,83/93
10807708/86397025,77786231/86397025
1169132/39271375,36947649/39271375
2/11,92517/106018
2/11,9/11
-297492862/10595998589,9781472421/10595998589
-89372879/259191075000,72139187254/75597396875
2/11,1034917/1133363
543/3553,1
2/11,1411321281/1432862849
1970254174/10966938125,989983663/996994375
2/11,1125947/1133363
87/671,1063/1342
2/11,9/11
-11342/328999,304761/328999
-13730542486/209905499375,208925010577/209905499375
2/11,158246531/187395109
9219387/71571500,116247493/143143000
6936/46475,3388/4225
2/11,829/845
2529273/17977564,5825349/6537296
2/11,92517/106018
1041759878/43250898559,38798118751/43250898559
84534898/1132828125,347810687/377609375
2/11,5409443436/6014430719
2843/63954,113437/127908
375784095638/6888858887625,2215297004747/2296286295875
12842/232375,6466451/6738875
12842/232375,23558923034/26644349875
606362396722/32281731291491,2640349749859/2934702844681
7258356885938/103700974609375,8634454036031/9427361328125
2/11,9/11
507/3751,6313/7502
543/3553,1
2/11,1
2843/63954,113437/127908
2/11,1075874/1261271
-3794322/199398875,2079600481/2193387625
2/11,1125947/1133363
3/22,75/88
2/11,9/11
87/671,1063/1342
2/11,9/11
-19642/328999,308911/328999
-4616/53009,1
2/11,1
2/11,44351/46475
-2816029/36204025,59700279/72408050
-68092993323/459257259175,1189754993617/1377771777525
12552/103829,1
26934199/223963025,441241289/447926050
28/10725,3407/3575
2/11,92517/106018
-7512/1133363,1
-30768/1261271,1161994/1261271
9491027016/647246868125,9965258339379/11003196758125
-338664714359/20740194921875,16950451076037/20740194921875
2/11,9/11
-73586/7510767,6864763/7510767
2/11,1009817311/1019623429
4420918/28034611,1
543/3553,1
2/11,1125947/1133363
87/671,1063/1342
2/11,9/11
-19642/328999,308911/328999
-163568162783/1935105136250,962043947003/967552568125
-5498981/69712500,1
543/3553,1
87/671,1063/1342
2/11,9/11
32163728/187395109,154277326/187395109
2/11,69045463/83222832
656453964/4792679287,967235341/1127689244
8736214386/58831540625,50698398623/58831540625
51126404/324163125,35586517/36018125
2/11,1125947/1133363
87/671,1063/1342
33453687/257417146,9002292161/11326354424
638208/4189889,3366296/4189889
52052249934/399407734375,3490910396507/4393485078125
2/11,68400383/83222832
652583484/4792679287,2877192983/3383067732
2/11,1413224851213/1631002214402
563493091286/10431458984375,559178536231/613615234375
246532042/5458721125,4840189144/5458721125
14646/112723,3940773/4959812
4692/35321,28034/35321
2/11,37787/40898
543/3553,1
2/11,1
398/46475,42051/46475
31299188/1390020775,42051/46475
2843/63954,113437/127908
54005511/356866873,1090019/1104851
2/11,1125947/1133363
1041759878/43250898559,38798118751/43250898559
2/11,107729717627/110824533083
222003/1677665,4107272/5032995
9864/58795,47692/58795
87/671,1063/1342
2/11,86463268/104172277
1118852121/7927937875,7095643228/7927937875
543/3553,1
2/11,1
2/11,3697748/3950375
22654435103/167436412000,144009976559/146506860500
2/11,1125947/1133363
3/22,75/88
2/11,9/11
87/671,1063/1342
2/11,9/11
19102751/181020125,310024749/362040250
2/11,7350019/8179600
98028191749/791744335525,1473760840261/1583488671050
4104736289/41859103000,152402122767/167436412000
2/11,92517/106018
2/11,9/11
856493805712/9201274999961,7936548551654/9201274999961
705272619287/4148038984375,4054482304766/4148038984375
2/11,3341660308211/3446614685404
39122472/228719051,185902364/228719051
543/3553,1
2/11,1411321281/1432862849
1970254174/10966938125,989983663/996994375
2/11,1125947/1133363
87/671,1063/1342
2/11,9/11
44495051407/806270594371,1421451483813/1612541188742
987944281/18653903125,34438449841/37307806250
2/11,158246531/187395109
9219387/71571500,116247493/143143000
6936/46475,3388/4225
2/11,829/845
2/11,18836/22517
2/11,9/11
507/3751,6313/7502
543/3553,1
2/11,1
2843/63954,113437/127908
2/11,1075874/1261271
2/11,1125947/1133363
3/22,75/88
2/11,9/11
87/671,1063/1342
2/11,9/11
-9/205,4199/4510
-2461/46035,1
2/11,1
12552/103829,1
-159909/17850625,1306317149/1374498125
28/10725,3407/3575
2/11,92517/106018
-393711/4908921875,18650886517/19635687500
2/11,9/11
543/3553,1
2/11,1125947/1133363
87/671,1063/1342
2/11,9/11
2067/201091,363553/402182
-3085593/4908921875,4674647699/4908921875
543/3553,1
2/11,259/286
2/11,9/11
507/3751,6313/7502
1107/7865,21038/23595
116/715,658/715
484642/3020875,2560906/3020875
5871/42328,147853/169312
54005511/356866873,1090019/1104851
2/11,1125947/1133363
70645270719/465214750000,4096909066/4153703125
1245117/8736607,7928332/8736607
2/11,443918324/466498571
179496993909/1186702423687,1169968593628/1186702423687
